11-12-2025 - 14:39:02  - logger.py:39 - INFO - 
===== New Automation Started =====

11-12-2025 - 14:39:03  - check_adb_devices_and_connect_if_not_connected.py:12 - INFO - ADB Devices Output:
11-12-2025 - 14:39:03  - check_adb_devices_and_connect_if_not_connected.py:13 - INFO - List of devices attached
127.0.0.1:5725	device


11-12-2025 - 14:39:03  - check_adb_devices_and_connect_if_not_connected.py:15 - INFO - '5725' is present in the adb devices output.
11-12-2025 - 14:39:03  - main.py:73 - INFO - selling => Material.RECYCLED_FABRIC
11-12-2025 - 14:39:03  - main.py:74 - INFO - depot_page_no => 1
11-12-2025 - 14:39:03  - find_empty_trade_boxes_and_sell_material.py:25 - INFO - finding Material.RECYCLED_FABRIC on trade depot page no  0
11-12-2025 - 14:39:05  - apply_nsm.py:23 - INFO - total matches 8
11-12-2025 - 14:39:05  - find_empty_trade_boxes_and_sell_material.py:28 - INFO - found 8 empty trade boxes
11-12-2025 - 14:39:05  - find_empty_trade_boxes_and_sell_material.py:30 - INFO - finding Material.RECYCLED_FABRIC quantity on city storage for quantity
11-12-2025 - 14:39:08  - apply_nsm.py:23 - INFO - total matches 1
11-12-2025 - 14:39:11  - find_empty_trade_boxes_and_sell_material.py:17 - INFO - found quantity = 254

11-12-2025 - 14:39:17  - find_empty_trade_boxes_and_sell_material.py:48 - INFO - found quantity = 254
11-12-2025 - 14:39:18  - find_empty_trade_boxes_and_sell_material.py:53 - INFO - remaining_quantity => 249
11-12-2025 - 14:39:18  - find_empty_trade_boxes_and_sell_material.py:55 - INFO - finding Material.RECYCLED_FABRIC on city storage page no 0
11-12-2025 - 14:39:20  - apply_nsm.py:23 - INFO - total matches 1
11-12-2025 - 14:39:28  - find_empty_trade_boxes_and_sell_material.py:53 - INFO - remaining_quantity => 244
11-12-2025 - 14:39:28  - find_empty_trade_boxes_and_sell_material.py:55 - INFO - finding Material.RECYCLED_FABRIC on city storage page no 0
11-12-2025 - 14:39:30  - apply_nsm.py:23 - INFO - total matches 1
